Author,al1Null,data is scraped from sullygnome.com
average_length,average_viewers,created,followers,language,mature,partnered,streamer_name
165,428,8th Apr 2019,16989,Spanish,False,True,Shinipan
311,107,23rd Aug 2016,13944,English,False,True,ShuFayeWong
56,24,10th Oct 2019,3029,English,False,False,ShyBongIRL
253,46,23rd May 2017,10157,Thai,False,True,Sinednas
102,3,13th Oct 2019,195,Korean,False,False,꿀_허니 (sing_honey)
170,129,11th May 2020,3852,Korean,False,False,즙신영 (sinyoungtv)
134,3,2nd Apr 2020,39,Korean,False,False,기시온 (sione_ki)
265,30,25th Aug 2019,42695,English,False,False,sixpika
285,13,15th Dec 2018,1308,Korean,False,False,수지니__ (sj_hundred)
130,1,31st Aug 2019,247,Korean,False,False,하이유ㅎ (sjrkwhgdk31)
147,3,2nd Mar 2020,3561,Korean,False,False,노래하는하은 (skdisk525)
368,1687,8th Oct 2015,85607,Korean,False,True,스나랑 (snarang)
184,23,26th Nov 2019,4273,Spanish,False,False,sofi_shima
319,45,8th Dec 2018,3505,English,False,False,softinhi
125,39,6th Nov 2018,1965,Korean,False,False,솔이솔이 (sol_0510)
313,440,21st Jan 2019,27132,Korean,False,True,송사비 (song4b)
409,2648,19th Oct 2016,252308,Korean,False,True,소니쇼 (sonycast_)
234,2095,27th Feb 2019,158284,Korean,False,True,수련수련 (sooflower)
356,164,18th Jun 2018,7566,Korean,False,False,소라___ (sorabbang629)
