Author,al1Null,data is scraped from sullygnome.com
average_length,average_viewers,created,followers,language,mature,partnered,streamer_name
321,927,11th Dec 2017,214418,Korean,False,True,양아지 (dkwl025)
254,247,29th Mar 2017,10555,Korean,False,True,도화링구 (dohwaa)
148,21,19th Jun 2015,1589,English,False,False,doropai
210,61,12th Feb 2019,1803,Korean,False,False,김도톨_ (dotolkim)
294,769,6th Nov 2018,33110,Chinese,False,True,一顆紅豆 (dou95412)
374,666,23rd Oct 2016,156995,Korean,False,True,서넹 (dua3362)
179,22,19th Jul 2018,675,Korean,False,False,duck_7_
405,284,19th Dec 2019,19715,Korean,False,False,단장002 (dxj002)
229,181,6th Oct 2016,16868,Spanish,False,True,EeveeLinh
299,79,9th Mar 2020,2933,Korean,False,False,에피젤리 (effy_kingp)
233,24,24th Jan 2019,2018,English,False,False,eggieface
351,231,12th Jun 2017,7998,Korean,False,True,애니제독님 (eksldudy)
254,202,26th Dec 2018,20957,Korean,False,True,엘리양 (eliceinwonderland)
544,139,30th May 2019,17629,English,False,True,elliegato
164,8,7th Aug 2018,2545,English,False,False,EmiEmiTV
229,497,2nd Oct 2012,37436,English,False,True,emilyywang
298,335,23rd Aug 2019,26297,English,False,False,eny1ng
480,960,11th Aug 2016,288744,Korean,False,True,에렌디라 (erenjjing)
381,33,7th May 2019,5078,Korean,False,False,묵은지님 (eun2ji)
106,2,24th Mar 2020,84,English,False,False,evelynshaw
189,37,6th Sep 2013,4308,English,False,True,evolutionofevie
390,70,12th Nov 2017,3378,English,False,False,fairywink
211,18,9th Aug 2019,430,English,False,False,FineChinaX
312,5,19th Nov 2012,178,English,False,False,Fleural
288,1064,12th Jul 2017,171547,Korean,False,True,꽃빈 (flowervin)
350,2711,21st Feb 2015,317944,English,False,True,fuslie
194,31,9th May 2018,20455,English,False,True,g_lilmonstar
189,83,20th Feb 2017,20387,Portuguese,False,True,gabiilissa
202,994,30th Jul 2015,83436,English,False,True,gamergirl
245,26,28th Nov 2017,1359,Russian,False,False,GeeGeeguyz
227,64,28th Oct 2018,770,English,False,False,ggjaci
281,232,17th Jan 2017,39325,English,False,True,GGria
166,200,14th Jul 2018,32114,Korean,False,True,GGUMONG
151,253,27th Feb 2019,51394,Korean,False,True,정병소녀 (ghghgigi)
582,372,18th Dec 2016,74064,Korean,False,True,쁘허 (gjqm056)
412,592,3rd Mar 2019,32714,Korean,False,True,한냥이_ (gkssk446)
146,95,20th Feb 2019,18948,Korean,False,True,온__ (gpdnjs2)
149,4,16th Jun 2018,437,Thai,False,False,grandma_gg
290,428,2nd Jul 2015,56838,Japanese,False,True,ぐぐってみぃ (gugu2525)
226,802,27th Oct 2016,231936,Korean,False,True,이초홍 (h920103)
277,86,12th Aug 2018,11200,English,False,True,haynurs
213,2513,6th Feb 2018,209081,English,False,True,HAchubby
197,12,25th Sep 2017,118,Chinese,False,False,haki1117
208,6,19th Apr 2020,195,English,False,False,HAM_LiTT
253,38,28th Aug 2019,4096,Korean,False,False,하나아_ (hana20)
264,404,4th Aug 2018,20985,Korean,False,True,한올__ (hanallnem_)
239,131,10th Dec 2015,15261,English,False,True,HANAWINS
126,337,12th Dec 2011,5074,Chinese,False,True,張大荷 (hanko3)
162,59,11th Apr 2020,1918,Korean,False,False,한피콕 (hanneasssyy)
370,57,18th Mar 2020,2213,Korean,False,False,하리1 (happy_harri)
250,13,31st Dec 2018,757,Thai,False,False,happyOmelet
403,1518,26th Feb 2017,74210,Korean,False,True,햇살살 (hatsalsal)
